Date,ozone,AOD,year,month,day
160429,282.3,0.145,2016,4,29
160430,279.185,0.299,2016,4,30
160501,283.2,0.243,2016,5,1
160502,277.189,0.473,2016,5,2
160503,272.878,0.264,2016,5,3
160504,262.9,0.18,2016,5,4
160505,273.178,0.275,2016,5,5
160506,279.756,0.123,2016,5,6
160507,287.7,0.149,2016,5,7
160508,283.2,0.185,2016,5,8
160509,282.322,0.264,2016,5,9
160510,273.233,0.104,2016,5,10
160511,282.322,0.264,2016,5,11
160512,282.467,0.245,2016,5,12
160513,293.344,0.264,2016,5,13
160514,281.933,0.264,2016,5,14
160515,288.5,0.264,2016,5,15
160516,282.322,0.264,2016,5,16
160517,302.5,0.064,2016,5,17
160518,294.433,0.392,2016,5,18
160519,277.611,0.264,2016,5,19
160520,289.2,0.298,2016,5,20
160521,298.056,0.414,2016,5,21
160522,286.233,0.119,2016,5,22
160523,283.733,0.264,2016,5,23
160524,276.233,0.264,2016,5,24
160525,282.322,0.466,2016,5,25
160526,266.133,0.264,2016,5,26
160527,274.856,0.379,2016,5,27
160528,279.333,0.238,2016,5,28
160529,290.256,0.407,2016,5,29
160530,282.322,0.264,2016,5,30
160531,282.322,0.264,2016,5,31
160601,285.11,0.298,2016,6,1
160602,285.11,0.298,2016,6,2
160603,285.11,0.298,2016,6,3
160604,285.11,0.298,2016,6,4
160605,285.11,0.298,2016,6,5
160606,285.11,0.298,2016,6,6
160607,285.11,0.298,2016,6,7
160608,285.11,0.298,2016,6,8
160609,285.11,0.298,2016,6,9
160610,285.11,0.298,2016,6,10
160611,285.11,0.298,2016,6,11
160612,285.11,0.298,2016,6,12
160613,285.11,0.298,2016,6,13
160614,285.11,0.298,2016,6,14
160615,280.0,0.336,2016,6,15
160616,269.367,0.134,2016,6,16
160617,285.11,0.298,2016,6,17
160618,279.267,0.161,2016,6,18
160619,290.389,0.515,2016,6,19
160620,288.967,0.298,2016,6,20
160621,277.022,0.298,2016,6,21
160622,281.3,0.348,2016,6,22
160623,286.456,0.146,2016,6,23
160624,309.367,0.339,2016,6,24
160625,300.022,0.15,2016,6,25
160626,285.11,0.69,2016,6,26
160627,273.733,0.298,2016,6,27
160628,286.922,0.298,2016,6,28
160629,279.667,0.19,2016,6,29
160630,289.056,0.273,2016,6,30
160701,284.689,0.223,2016,7,1
160702,287.433,0.15,2016,7,2
160703,285.122,0.283,2016,7,3
160704,284.233,0.193,2016,7,4
160705,296.244,0.336,2016,7,5
160706,283.856,0.165,2016,7,6
160707,284.567,0.275,2016,7,7
160708,271.889,0.359,2016,7,8
160709,292.267,0.219,2016,7,9
160710,287.0,0.348,2016,7,10
160711,284.033,0.283,2016,7,11
160712,285.122,0.283,2016,7,12
160713,281.6,0.163,2016,7,13
160714,285.122,0.283,2016,7,14
160715,280.4,0.232,2016,7,15
160716,291.133,0.244,2016,7,16
160717,280.044,0.38,2016,7,17
160718,281.233,0.261,2016,7,18
160719,285.122,0.283,2016,7,19
160720,287.167,0.157,2016,7,20
160721,286.622,0.444,2016,7,21
160722,280.522,0.283,2016,7,22
160723,283.367,0.362,2016,7,23
160724,278.156,0.375,2016,7,24
160725,300.178,0.21,2016,7,25
160726,296.333,0.33,2016,7,26
160727,287.811,0.283,2016,7,27
160728,285.122,0.283,2016,7,28
160729,279.067,0.283,2016,7,29
160730,287.567,0.52,2016,7,30
160731,275.767,0.283,2016,7,31
160801,286.011,0.229,2016,8,1
160802,283.789,0.406,2016,8,2
160803,280.633,0.158,2016,8,3
160804,280.758,0.286,2016,8,4
160805,290.367,0.286,2016,8,5
160806,273.989,0.639,2016,8,6
160807,266.144,0.286,2016,8,7
